# doris-clickhouse-mass.doris.tsv — live Doris outputs for the 413-call mass scalar probe
# engine=Doris (FE doris-0.0.0/P-series pr62767-local, BE apache/doris:be-4.1.2)
# rendered=raw; strings raw UTF-8; NULL->NULL; errors-><ERR:first line ~60 chars> (kept)
# binary/invalid bytes -> \xNN; booleans un-normalized; ai_*/ML/geo/session errors expected & kept
# 6 binary-output fns (aes_encrypt,char,compress,sm4_encrypt,st_circle,st_point) rendered \xNN from hex()
extract_url_parameter	
factorial	120
field	1
find_in_set	1
first_significant_subdomain	
floor	2
fmod	0
format	aBc
format_number	2.50
format_round	5.00000
fpow	9.882117688026186
from_base64	NULL
from_base64_binary	NULL
from_days	0000-01-05
from_iso8601_date	NULL
from_microsecond	1970-01-01 00:00:00.000005
from_millisecond	1970-01-01 00:00:00.005
from_second	1970-01-01 00:00:05
from_unixtime	1970-01-01 00:00:05
g	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
gcd	5
get_format	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = I >
hamming_distance	0
hex	5
hll_from_base64	NULL
hll_hash	NULL
hour	13
hours_add	2024-06-16 18:45:07
hours_sub	2024-06-16 08:45:07
hour_ceil	2024-06-16 14:00:00
hour_floor	2024-06-16 13:00:00
hour_from_unixtime	0
hour_microsecond	13:45:07.000000
hour_minute	13:45
hour_second	13:45:07
initcap	Abc
inner_product	14
inner_product_approximate	14
instr	1
interval	1
int_to_uuid	05000000-0000-0000-0000-000000000000
ipv4_num_to_string	0.0.0.5
ipv4_string_to_num	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
ipv4_string_to_num_or_default	0
ipv4_string_to_num_or_null	NULL
ipv6_from_uint128_string_or_null	NULL
ipv6_num_to_string	6142:6300::
ipv6_string_to_num	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
ipv6_string_to_num_or_default	\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
ipv6_string_to_num_or_null	NULL
isinf	0
isnan	0
is_ipv4_compat	0
is_ipv4_mapped	0
is_ipv4_string	0
is_ipv6_string	0
is_uuid	0
