lpad_ascii	leftPad('ab', 5, '*')	lpad('ab',5,'*')	SAME	"***ab"[U+002A U+002A U+002A U+0061 U+0062]	"***ab"[U+002A U+002A U+002A U+0061 U+0062]
lpad_emoji	leftPadUTF8('😀', 5, '*')	lpad('😀',5,'*')	SAME	"****😀"[U+002A U+002A U+002A U+002A U+1F600]	"****😀"[U+002A U+002A U+002A U+002A U+1F600]
rpad_ascii	rightPad('ab', 5, '*')	rpad('ab',5,'*')	SAME	"ab***"[U+0061 U+0062 U+002A U+002A U+002A]	"ab***"[U+0061 U+0062 U+002A U+002A U+002A]
ascii_A	ascii('A')	ascii('A')	SAME	65	65
ascii_emoji	ascii('😀')	ascii('😀')	DIFF	240	128512
left_n	left('abcde', 2)	left('abcde', 2)	SAME	"ab"[U+0061 U+0062]	"ab"[U+0061 U+0062]
right_n	right('abcde', 2)	right('abcde', 2)	SAME	"de"[U+0064 U+0065]	"de"[U+0064 U+0065]
left_neg	left('abcde', -2)	left('abcde', -2)	SAME	"abc"[U+0061 U+0062 U+0063]	"abc"[U+0061 U+0062 U+0063]
repeat_basic	repeat('ab', 3)	repeat('ab', 3)	SAME	"ababab"[U+0061 U+0062 U+0061 U+0062 U+0061 U+0062]	"ababab"[U+0061 U+0062 U+0061 U+0062 U+0061 U+0062]
repeat_zero	repeat('ab', 0)	repeat('ab', 0)	SAME	""[]	""[]
translate_basic	translate('abcabc', 'ab', 'xy')	translate('abcabc', 'ab', 'xy')	SAME	"xycxyc"[U+0078 U+0079 U+0063 U+0078 U+0079 U+0063]	"xycxyc"[U+0078 U+0079 U+0063 U+0078 U+0079 U+0063]
upper_null	upper(NULL)	upper(NULL)	SAME	NULL	NULL
