vector_id	function	area	sql	status	starrocks	doris
array_array_distinct_071	array_distinct	array	array_to_string(array_distinct([1, 1, 2]), ',')	BOTH_ERR	<ERR:ERROR 1064 (HY000) at line 1: Getting analyzing error from line 1, column 7 to line 1, column 53. Detail message: No matching function with signature: array_to_string(array<tinyint(4)>, varchar).>	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = Can not found function 'array_to_string'>
array_array_max_072	array_max	array	array_max([1, 5, 3])	SAME	5	5
array_array_avg_073	array_avg	array	array_avg([1, 2, 3])	DIFF	2.0	2
array_arrays_overlap_074	arrays_overlap	array	arrays_overlap([1, 2], [2, 3])	SAME	1	1
array_json_extract_075	json_extract	array	json_extract('{"a": 1}', '$.a')	ONE_ERR	<ERR:ERROR 1064 (HY000) at line 1: Getting analyzing error from line 1, column 7 to line 1, column 37. Detail message: No matching function with signature: json_extract(varchar, varchar).>	1
array_json_length_076	json_length	array	json_length('[1, 2, 3]')	SAME	3	3
array_get_json_string_077	get_json_string	array	get_json_string('{"a": "x"}', '$.a')	SAME	x	x
agg_count_distinct_078	count_distinct	agg	(SELECT count(DISTINCT c) FROM (SELECT 1 c UNION ALL SELECT 1 UNION ALL SELECT 2) t)	SAME	2	2
agg_sum_079	sum	agg	(SELECT sum(c) FROM (SELECT 1 c UNION ALL SELECT 2 UNION ALL SELECT NULL) t)	SAME	3	3
agg_avg_080	avg	agg	(SELECT avg(c) FROM (SELECT 1 c UNION ALL SELECT 2) t)	SAME	1.5	1.5
agg_group_concat_081	group_concat	agg	(SELECT group_concat(c) FROM (SELECT 'a' c UNION ALL SELECT 'b') t)	SAME	a,b	a,b
agg_any_value_082	any_value	agg	(SELECT any_value(c) FROM (SELECT 7 c) t)	SAME	7	7
agg_min_083	min	agg	(SELECT min(c) FROM (SELECT 3 c UNION ALL SELECT 1) t)	SAME	1	1
agg_stddev_084	stddev	agg	(SELECT round(stddev(c), 4) FROM (SELECT 1 c UNION ALL SELECT 2 UNION ALL SELECT 3) t)	SAME	0.8165	0.8165
agg_variance_085	variance	agg	(SELECT round(variance(c), 4) FROM (SELECT 1 c UNION ALL SELECT 2 UNION ALL SELECT 3) t)	SAME	0.6667	0.6667
boundary_abs_min_086	abs_min	boundary	abs(-9223372036854775807)	SAME	9223372036854775807	9223372036854775807
boundary_cast_overflow_087	cast_overflow	boundary	cast(300 AS TINYINT)	SAME	NULL	NULL
boundary_substring_oob_088	substring_oob	boundary	substring('abc', 10, 5)	SAME		
boundary_array_empty_089	array_empty	boundary	array_length([])	ONE_ERR	0	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = Can not found function 'array_length'>
boundary_concat_num_090	concat_num	boundary	concat(1, 2)	SAME	12	12
boundary_power_big_091	power_big	boundary	pow(10, 18)	SAME	1e+18	1e+18
