Signature	Return Type	Function Type	Intermediate Type	Properties
add(BIGINT,BIGINT)	BIGINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(BOOLEAN,BOOLEAN)	BOOLEAN	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(DECIMAL128,DECIMAL128)	DECIMAL128	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(DECIMAL256,DECIMAL256)	DECIMAL256	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(DECIMAL32,DECIMAL32)	DECIMAL32	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(DECIMAL64,DECIMAL64)	DECIMAL64	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(DECIMALV2,DECIMALV2)	DECIMALV2	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(DOUBLE,DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(FLOAT,FLOAT)	FLOAT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(INT,INT)	INT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(LARGEINT,LARGEINT)	LARGEINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(SMALLINT,SMALLINT)	SMALLINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add(TINYINT,TINYINT)	TINYINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
add_months(DATETIME,INT)	DATETIME	Scalar	NULL	{"fid":"50122","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
adddate(DATETIME,INT)	DATETIME	Scalar	NULL	{"fid":"50144","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
aes_decrypt(VARCHAR,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"120110","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
aes_decrypt(VARCHAR,VARCHAR,VARCHAR,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"120111","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
aes_decrypt(VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"120112","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
aes_encrypt(VARCHAR,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"120100","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
aes_encrypt(VARCHAR,VARCHAR,VARCHAR,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"120101","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
aes_encrypt(VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"120102","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ai_query(VARCHAR,JSON)	VARCHAR	Scalar	NULL	{"fid":"200000","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
all_match(INVALID_TYPE)	BOOLEAN	Scalar	NULL	{"fid":"150301","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_match(INVALID_TYPE)	BOOLEAN	Scalar	NULL	{"fid":"150302","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
