Signature	Return Type	Function Type	Intermediate Type	Properties
covar_pop_if(TINYINT,TINYINT,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_merge(VARBINARY)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state(BIGINT,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state(BOOLEAN,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state(DOUBLE,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state(FLOAT,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state(INT,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state(LARGEINT,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state(SMALLINT,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state(TINYINT,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state_merge(VARBINARY)	DOUBLE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_state_union(VARBINARY,VARBINARY)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_pop_union(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp(BIGINT,BIGINT)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp(BOOLEAN,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp(DOUBLE,DOUBLE)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp(FLOAT,FLOAT)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp(INT,INT)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp(LARGEINT,LARGEINT)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp(SMALLINT,SMALLINT)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp(TINYINT,TINYINT)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_combine(BIGINT,BIGINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_combine(BOOLEAN,BOOLEAN)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_combine(DOUBLE,DOUBLE)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_combine(FLOAT,FLOAT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_combine(INT,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_combine(LARGEINT,LARGEINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_combine(SMALLINT,SMALLINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_combine(TINYINT,TINYINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_if(BIGINT,BIGINT,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_if(BOOLEAN,BOOLEAN,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_if(DOUBLE,DOUBLE,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_if(FLOAT,FLOAT,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_if(INT,INT,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_if(LARGEINT,LARGEINT,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_if(SMALLINT,SMALLINT,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_if(TINYINT,TINYINT,BOOLEAN)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_merge(VARBINARY)	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state(BIGINT,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state(BOOLEAN,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state(DOUBLE,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state(FLOAT,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state(INT,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state(LARGEINT,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state(SMALLINT,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state(TINYINT,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state_merge(VARBINARY)	DOUBLE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_state_union(VARBINARY,VARBINARY)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
covar_samp_union(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
crc32(VARCHAR)	BIGINT	Scalar	NULL	{"fid":"30431","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
crc32_hash(INVALID_TYPE)	BIGINT	Scalar	NULL	{"fid":"100023","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
cume_dist()	DOUBLE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
curdate()	DATE	Scalar	NULL	{"fid":"50220","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
current_date()	DATE	Scalar	NULL	{"fid":"50221","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
current_time()	TIME	Scalar	NULL	{"fid":"50211","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
current_timestamp()	DATETIME	Scalar	NULL	{"fid":"50201","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
current_timestamp(INT)	DATETIME	Scalar	NULL	{"fid":"50205","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
current_timezone()	VARCHAR	Scalar	NULL	{"fid":"50321","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
current_version()	VARCHAR	Scalar	NULL	{"fid":"100013","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
curtime()	TIME	Scalar	NULL	{"fid":"50210","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date(DATETIME)	DATE	Scalar	NULL	{"fid":"50051","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_add(DATETIME,INT)	DATETIME	Scalar	NULL	{"fid":"50142","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_diff(VARCHAR,DATETIME,DATETIME)	BIGINT	Scalar	NULL	{"fid":"50199","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_format(DATE,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"50242","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_format(DATETIME,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"50241","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_slice(DATE,INT,VARCHAR)	DATE	Scalar	NULL	{"fid":"50370","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_slice(DATE,INT,VARCHAR,VARCHAR)	DATE	Scalar	NULL	{"fid":"50371","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_sub(DATETIME,INT)	DATETIME	Scalar	NULL	{"fid":"50143","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_trunc(VARCHAR,DATE)	DATE	Scalar	NULL	{"fid":"50350","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
date_trunc(VARCHAR,DATETIME)	DATETIME	Scalar	NULL	{"fid":"50340","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
datediff(DATETIME,DATETIME)	INT	Scalar	NULL	{"fid":"50197","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
day(DATE)	TINYINT	Scalar	NULL	{"fid":"50057","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
day(DATETIME)	TINYINT	Scalar	NULL	{"fid":"50058","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dayname(DATETIME)	VARCHAR	Scalar	NULL	{"fid":"50310","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dayofmonth(DATETIME)	TINYINT	Scalar	NULL	{"fid":"50059","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dayofweek(DATETIME)	INT	Scalar	NULL	{"fid":"50040","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dayofweek_iso(DATETIME)	INT	Scalar	NULL	{"fid":"50041","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dayofyear(DATETIME)	INT	Scalar	NULL	{"fid":"50062","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
days_add(DATETIME,INT)	DATETIME	Scalar	NULL	{"fid":"50140","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
days_diff(DATETIME,DATETIME)	BIGINT	Scalar	NULL	{"fid":"50193","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
days_sub(DATETIME,INT)	DATETIME	Scalar	NULL	{"fid":"50141","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dceil(DOUBLE)	BIGINT	Scalar	NULL	{"fid":"10112","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
degrees(DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"10200","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dense_rank()	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dexp(DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"10181","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dfloor(DOUBLE)	BIGINT	Scalar	NULL	{"fid":"10121","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dict_merge(INVALID_TYPE,INT)	VARCHAR	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dict_merge(VARCHAR,INT)	VARCHAR	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
distinct_map_keys(INVALID_TYPE)	INVALID_TYPE	Scalar	NULL	{"fid":"170006","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
divide(DECIMAL128,DECIMAL128)	DECIMAL128	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
divide(DECIMAL256,DECIMAL256)	DECIMAL256	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
divide(DECIMAL32,DECIMAL32)	DECIMAL32	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
divide(DECIMAL64,DECIMAL64)	DECIMAL64	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
divide(DECIMALV2,DECIMALV2)	DECIMALV2	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
divide(DOUBLE,DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dlog1(DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"10141","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dlog10(DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"10171","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dpow(DOUBLE,DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"10222","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dround(DECIMAL128)	DECIMAL128	Scalar	NULL	{"fid":"10125","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dround(DECIMAL128,INT)	DECIMAL128	Scalar	NULL	{"fid":"10126","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dround(DOUBLE)	BIGINT	Scalar	NULL	{"fid":"10131","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
dround(DOUBLE,INT)	DOUBLE	Scalar	NULL	{"fid":"10133","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BIGINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BIGINT,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BIGINT,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BITMAP)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BITMAP,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BITMAP,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BOOLEAN)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BOOLEAN,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(BOOLEAN,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DATE)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DATE,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DATE,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DATETIME)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DATETIME,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DATETIME,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL128)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL128,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL128,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL256)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL256,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL256,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL32)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL32,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL32,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL64)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL64,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMAL64,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMALV2)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMALV2,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DECIMALV2,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DOUBLE)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DOUBLE,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(DOUBLE,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(FLOAT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(FLOAT,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(FLOAT,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(HLL)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(HLL,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(HLL,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(INT,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(INT,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(JSON)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(JSON,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(JSON,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(LARGEINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(LARGEINT,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(LARGEINT,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(PERCENTILE)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(PERCENTILE,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(PERCENTILE,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(SMALLINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(SMALLINT,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(SMALLINT,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(TIME)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(TIME,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(TIME,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(TINYINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(TINYINT,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(TINYINT,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(UNKNOWN_TYPE)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(UNKNOWN_TYPE,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(UNKNOWN_TYPE,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(VARBINARY,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(VARBINARY,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(VARCHAR,INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_accumulate(VARCHAR,INT,VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_combine(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_count_distinct(BIGINT)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
ds_hll_count_distinct(BIGINT,INT)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
